state,year,net in,net out,net total
Oklahoma,2011,0.029090778898003527,0.02190291974039542,0.007187859157608108
Oregon,2011,0.03340703954382594,0.02899070776458262,0.004416331779243322
Pennsylvania,2011,0.01857906190134147,0.01715694875285993,0.0014221131484815422
Rhode Island,2011,0.025738878600644985,0.029969899859146776,-0.004231021258501791
South Carolina,2011,0.03409123347274544,0.026583055245230906,0.007508178227514532
South Dakota,2011,0.033783891669481377,0.03616484958287896,-0.0023809579133975828
Tennessee,2011,0.026994539798587378,0.024515013802936754,0.0024795259956506242
Texas,2011,0.020323128929387268,0.016169012851449442,0.004154116077937826
Utah,2011,0.03076840310987725,0.026688602471022428,0.004079800638854821
Vermont,2011,0.03293291746733746,0.029490664481211303,0.0034422529861261562
Virginia,2011,0.03215510885191517,0.028984530507177125,0.0031705783447380474
Washington,2011,0.03089691091645311,0.028558169271611193,0.002338741644841918
West Virginia,2011,0.02726103579739673,0.02514928901653124,0.0021117467808654915
Wisconsin,2011,0.01937929382157181,0.01872397954133802,0.0006553142802337882
Wyoming,2011,0.05459850478010791,0.05697955461512841,-0.0023810498350205003
Alabama,2012,0.021954366820109362,0.022973219717463685,-0.0010188528973543234
Alaska,2012,0.046333400814769006,0.10957311478144811,-0.0632397139666791
Arizona,2012,0.03593450949287105,0.032302381348381815,0.0036321281444892384
Arkansas,2012,0.0264182814452669,0.022469356980797963,0.0039489244644689385
California,2012,0.013138275948907423,0.015163511080815434,-0.002025235131908011
Colorado,2012,0.04001995337966223,0.03201905800973991,0.008000895369922316
Connecticut,2012,0.022588971622518262,0.024604446686218733,-0.002015475063700471
Delaware,2012,0.0383387603466229,0.028150773253575234,0.010187987093047662
District of Columbia,2012,0.08614908929705992,0.09571514960467824,-0.009566060307618321
Florida,2012,0.028101421843594064,0.022733388425277966,0.005368033418316098
Georgia,2012,0.02832283660763328,0.02595301950175042,0.0023698171058828613
Hawaii,2012,0.040109771815439045,0.04521121573913932,-0.005101443923700273
Idaho,2012,0.037686995084664304,0.03532637742532405,0.0023606176593402514
Illinois,2012,0.01640495464128862,0.021837118615638255,-0.005432163974349636
Indiana,2012,0.020773673248241035,0.022442791810849592,-0.0016691185626085576
Iowa,2012,0.024958251920872854,0.024261789757405262,0.000696462163467592
Kansas,2012,0.030990891309323386,0.032831487544805145,-0.001840596235481759
Kentucky,2012,0.02605607414454379,0.023948921491741316,0.002107152652802473
Louisiana,2012,0.020065271802326222,0.021152525634398314,-0.0010872538320720916
Maine,2012,0.020920715179395342,0.029170662060746123,-0.008249946881350782
Maryland,2012,0.026645533581181168,0.027295954671097803,-0.0006504210899166349
Massachusetts,2012,0.02166612644573682,0.024195075743088792,-0.002528949297351972
Michigan,2012,0.013700917682621296,0.017978116852797817,-0.004277199170176521
Minnesota,2012,0.019009908888198212,0.02185490968304858,-0.00284500079485037
Mississippi,2012,0.024934728683012088,0.022801094365339968,0.00213363431767212
Missouri,2012,0.027374392065206598,0.024157489898136937,0.003216902167069661
Montana,2012,0.037858698359891675,0.034181195089029524,0.003677503270862151
