,state,year,net total,pct_renters,median_age,pct_female,pct_age_20_34,pct_age_65_plus,pct_college_grads,pct_unemployed,pct_nilf,median_income
57,Connecticut,2011,-0.0055847882109316994,0.286151709,40,0.513123239,0.182414432,0.143557882,0.259177722,0.055998128,0.256068281,25200
58,Delaware,2011,0.0077134475579196185,0.266844516,39,0.5155473,0.194842003,0.148094826,0.199896377,0.045335038,0.296157683,23400
59,District of Columbia ,2011,-0.0034886423383416604,0.522784937,33,0.526437064,0.315751235,0.111999107,0.39678574,0.064239898,0.276333504,30000
60,Florida,2011,0.002968144097849852,0.326762601,41,0.510795988,0.189297602,0.176318541,0.18727221,0.060248956,0.327935943,18000
61,Georgia,2011,0.00211106368160522,0.339334767,35,0.510263968,0.206822676,0.109429752,0.185134908,0.057962489,0.282622481,17000
62,Hawaii,2011,-0.003652336109997982,0.384450215,38,0.500195663,0.210743303,0.148520159,0.209115441,0.035164132,0.278479935,24000
63,Idaho,2011,0.0013947291880630902,0.301775727,34,0.497345401,0.202170368,0.127988593,0.166469714,0.046211794,0.273892813,18000
64,Illinois,2011,-0.004183445974752974,0.294621314,36,0.509939306,0.207517232,0.127262494,0.216798729,0.05689605,0.269906138,20030
65,Indiana,2011,-0.0024062715406274436,0.26978457,37,0.508077433,0.198028149,0.131728905,0.156543074,0.048915884,0.281355063,20000
66,Iowa,2011,-0.0014339039471104632,0.23869505,38,0.50587155,0.198572384,0.149545,0.180032453,0.032867029,0.253184444,22800
67,Kansas,2011,-0.003773585777348591,0.281440967,36,0.50367298,0.202414429,0.133008131,0.20529472,0.04016177,0.246174298,21100
68,Kentucky,2011,0.002362019550682024,0.285059629,38,0.508918935,0.197397511,0.135917513,0.144840109,0.047878681,0.322750996,17000
69,Louisiana,2011,0.002655821042152725,0.308327337,35,0.510264193,0.214433916,0.125070276,0.143922973,0.045841206,0.303669902,16500
70,Maine,2011,-2.3032766818937428e-05,0.244544447,43,0.510675447,0.168872931,0.164049818,0.212190594,0.04393881,0.294248254,20000
71,Maryland,2011,-0.00207939932753232,0.297250188,38,0.516509562,0.20160222,0.125356687,0.260471984,0.04913466,0.246548001,27000
72,Massachusetts,2011,-0.0011139827082512661,0.32040083,39,0.516040292,0.202182273,0.139623374,0.282002102,0.051939147,0.262863839,24660
73,Michigan,2011,-0.004840796022841588,0.254242857,39,0.509423222,0.189504006,0.140545334,0.18079923,0.063589622,0.308236468,18200
74,Minnesota,2011,-0.0005049680915497068,0.229557139,37,0.50375267,0.201540695,0.131947304,0.229259657,0.041223149,0.232344489,25000
75,Mississippi,2011,-8.840633340154169e-05,0.293043976,36,0.513483243,0.196821097,0.129519371,0.134925426,0.0511309,0.322780973,15000
76,Missouri,2011,0.0017185861168294292,0.282807226,38,0.510094851,0.199917713,0.142390023,0.18490296,0.047637142,0.285263018,20000
77,Montana,2011,0.002205602659229748,0.285261756,39,0.497207471,0.199589461,0.150431928,0.210303757,0.043372113,0.281707355,20000
78,Nebraska,2011,-0.000500661776474523,0.284529108,36,0.503875687,0.204887984,0.136081309,0.1922572,0.035391593,0.22214528,23000
79,Nevada,2011,-0.00220150170278037,0.432999844,36,0.495838171,0.209526086,0.124716064,0.153467346,0.065204923,0.274128436,20000
80,New Hampshire,2011,-0.004783010489353735,0.239301651,41,0.505622845,0.176021891,0.140161463,0.242056177,0.037392827,0.2559426,25000
81,New Jersey,2011,-0.008691804486320457,0.315508343,39,0.512677081,0.188377032,0.137280209,0.25184117,0.057024732,0.267196869,24400
82,New Mexico,2011,0.00016116292136127836,0.29234895,36,0.5026659,0.202683765,0.136058368,0.171235179,0.05188875,0.303452462,16500
