state,year,net in,net out,net total,pct_renters,median_age,pct_female,pct_age_20_34,pct_age_65_plus,pct_college_grads,pct_unemployed,pct_nilf,median_income,home_value
South Carolina,2014,0.035971818947973494,0.025798113479516417,0.010173705468457077,0.30871072,38,0.513182667,0.201486524,0.15738786,0.185079427,0.04001422,0.314026002,19000,149936.37823227598
South Dakota,2014,0.03348628864853054,0.03699991211422301,-0.003513623465692471,0.277774196,36,0.497334076,0.20694582,0.15064553,0.181340288,0.019400475,0.238668503,24000,167589.46485437313
Tennessee,2014,0.028143637162952016,0.024924377560165096,0.0032192596027869197,0.31919112,38,0.512741261,0.200403032,0.150265858,0.180153701,0.038152477,0.312947907,18700,147153.17774018785
Texas,2014,0.02025574870433193,0.016564308551366595,0.0036914401529653355,0.353653925,34,0.503656792,0.218178921,0.114839738,0.184808909,0.029989845,0.270737336,20000,156899.91527347377
Utah,2014,0.031179671326996776,0.027847749191703505,0.0033319221352932707,0.279340936,30,0.497515717,0.233617361,0.100043427,0.189431724,0.023444206,0.235838298,20000,231207.90932322407
Vermont,2014,0.036455263183324794,0.03309197020685722,0.0033632929764675773,0.261156917,42,0.510594323,0.188299003,0.169488415,0.264301059,0.032571398,0.276876031,24000,232289.83494677301
Virginia,2014,0.03191576806280698,0.03236113856262989,-0.0004453704998229127,0.321678121,37,0.508171888,0.210714882,0.137328527,0.258854215,0.03130146,0.270867009,25000,237718.03595616968
Washington,2014,0.031558583591152725,0.02876554729211268,0.002793036299040045,0.353332776,37,0.499823409,0.212959798,0.140662576,0.235328038,0.034339584,0.285799678,24100,263579.6283293801
West Virginia,2014,0.026185777765158506,0.026688482348218964,-0.0005027045830604572,0.254143324,41,0.505859508,0.18499659,0.178434503,0.142086313,0.029436975,0.381143647,18000,99732.73203033362
Wisconsin,2014,0.02069851584310999,0.020228750413923777,0.00046976542918621134,0.292964177,39,0.503682981,0.197893241,0.152430438,0.20389769,0.028613664,0.267287346,24000,163572.1550036023
Wyoming,2014,0.04498582510358578,0.05732212413027615,-0.012336299026690374,0.300825297,36,0.492547329,0.212793566,0.134521264,0.179485512,0.026308176,0.249573314,25000,215457.0877102874
Alabama,2015,0.023924530140896814,0.021108415328785518,0.0028161148121112964,0.300791998,38,0.516260103,0.197791141,0.157362483,0.169096018,0.032854227,0.343350733,18000,137057.09454644148
Alaska,2015,0.04766837669778062,0.05560934136006473,-0.007940964662284104,0.326852032,32,0.473476231,0.252698962,0.097069195,0.18640579,0.036994605,0.236082672,28400,275910.13444260275
Arizona,2015,0.03753648522177161,0.027818249758650944,0.009718235463120665,0.371490459,37,0.504255305,0.203301375,0.163652806,0.192736888,0.032095623,0.325128422,20000,206375.2715903568
Arkansas,2015,0.027768730722540373,0.02621851302701697,0.0015502176955234023,0.32822634,37,0.509520167,0.197697337,0.159665355,0.150117991,0.02698069,0.333827031,18500,130006.4846938441
California,2015,0.013302526287238558,0.016733778813555818,-0.00343125252631726,0.445557059,36,0.503730098,0.222763483,0.132652118,0.224763799,0.035833555,0.2925927,20000,425805.9086541386
Colorado,2015,0.0421735906488831,0.03441998991548575,0.007753600733397349,0.334817598,36,0.497372894,0.221953189,0.130147965,0.27633768,0.028005851,0.253227391,26240,296136.07072088396
Connecticut,2015,0.021659740905648744,0.029085723275980715,-0.007425982370331971,0.29667692,40,0.511636961,0.190259451,0.157513494,0.278129687,0.037373228,0.272451423,28000,244405.80644525294
Delaware,2015,0.04754689238127703,0.0336544277352328,0.013892464646044232,0.277883024,39,0.518740208,0.199508634,0.168680902,0.225861424,0.028533703,0.302246246,25000,241665.4669759421
District of Columbia,2015,0.0903536317921708,0.09854052375530484,-0.008186891963134033,0.532030799,33,0.522901456,0.313268712,0.110124839,0.431030841,0.043140125,0.241485032,35000,500244.7463032312
Florida,2015,0.02914722813865705,0.022586133599019138,0.006561094539637911,0.359980124,41,0.512195584,0.190930643,0.194455188,0.210419208,0.033511069,0.341477979,20000,182288.72209026208
Georgia,2015,0.028083887386907404,0.024935192025443493,0.003148695361463911,0.362465467,36,0.512757493,0.206346147,0.126790676,0.202906452,0.034005361,0.292785217,20000,157127.3283476201
Hawaii,2015,0.03799753244411764,0.04308280144029769,-0.005085268996180052,0.399218219,37,0.495879095,0.223271396,0.165263694,0.225001624,0.023958458,0.278490615,27400,516347.0218275921
Idaho,2015,0.045133016095479546,0.034744975547644476,0.01038804054783507,0.290411679,35,0.50045017,0.199992145,0.145815231,0.16920051,0.025346087,0.285942608,20000,192319.78815273728
Illinois,2015,0.016513577063136643,0.0264418471571756,-0.009928270094038957,0.316565597,37,0.510004864,0.208265711,0.142278516,0.234702035,0.036076297,0.27792468,23430,168394.17882977263
Indiana,2015,0.02255556790559285,0.021745800049076076,0.0008097678565167736,0.289853135,37,0.508178794,0.200970742,0.145907506,0.174872804,0.030528364,0.28799655,21500,124595.09742340578
Iowa,2015,0.027888530254951735,0.026437977217818286,0.0014505530371334494,0.255110681,38,0.504164187,0.199454272,0.160572093,0.190758408,0.022108589,0.259870438,25000,136451.4749952875
Kansas,2015,0.03176336398158323,0.0347698779223208,-0.0030065139407375735,0.305607388,36,0.501757256,0.204646795,0.146222354,0.216105626,0.024272567,0.258274973,24400,129370.15431263618
Kentucky,2015,0.024447323971744657,0.02500859035192229,-0.0005612663801776337,0.312541299,38,0.507719614,0.19560904,0.152374911,0.162432329,0.029863108,0.329064797,19700,117156.97135558823
Louisiana,2015,0.020234283256114885,0.02175767862487874,-0.0015233953687638566,0.331731012,36,0.510397746,0.215678983,0.140056017,0.161581374,0.033006018,0.315196531,18000,173305.37607636562
Maine,2015,0.022864728975197427,0.028055194220113606,-0.005190465244916179,0.240620825,44,0.5091046,0.176413195,0.189957633,0.228981109,0.026450959,0.312126127,22450,190042.58785646656
Maryland,2015,0.028462058929845862,0.030827746956191747,-0.002365688026345885,0.316120918,38,0.516512967,0.205668419,0.140555051,0.279566083,0.03012969,0.260702208,30000,279991.52482183924
Massachusetts,2015,0.019721729169906735,0.02607648892570111,-0.0063547597557943765,0.333925093,39,0.514395779,0.211432407,0.153350351,0.306828601,0.031371028,0.2717251,27600,351949.9781126212
Michigan,2015,0.014538064638172513,0.01839366963281508,-0.0038556049946425665,0.264451187,39,0.508655716,0.195676304,0.158729145,0.199819281,0.035450774,0.313194981,21200,130750.82859651411
Minnesota,2015,0.02001467944888227,0.023574399885781475,-0.0035597204368992066,0.252364747,37,0.502676336,0.201422364,0.146219374,0.248093757,0.023491719,0.238829684,29000,199984.85150109234
Mississippi,2015,0.023435021047285346,0.027449903369646193,-0.004014882322360847,0.321902676,37,0.516493318,0.196516564,0.147422429,0.142753831,0.039234938,0.337711745,16300,126799.22544931398
Missouri,2015,0.02645663427300443,0.02596802171089507,0.0004886125621093619,0.301853552,38,0.509678858,0.201385611,0.156351624,0.19691775,0.026526414,0.294786931,22000,136918.31310001234
Montana,2015,0.041936122928938085,0.03240351213542324,0.009532610793514848,0.300440777,40,0.496511444,0.196174254,0.172994988,0.20653101,0.02173389,0.303067238,22000,216041.67480699733
Nebraska,2015,0.028327369160455956,0.02860723465728038,-0.000279865496824426,0.300346484,36,0.502556178,0.207510851,0.147584894,0.208250228,0.017949678,0.236789562,25000,145217.5724428943
Nevada,2015,0.047560595616909174,0.035438892695472006,0.012121702921437168,0.45381091,37,0.499623121,0.207225569,0.146569602,0.167362484,0.04097833,0.290822234,22000,211636.34068278098
New Hampshire,2015,0.04054711213917387,0.03224877560903874,0.008298336530135127,0.249357437,42,0.504141716,0.183817473,0.164038545,0.263151882,0.024709005,0.26536215,29000,229565.7455044913
New Jersey,2015,0.016271526252086117,0.025629496757651117,-0.009357970505565,0.336244321,39,0.511407943,0.192631558,0.149805989,0.273542135,0.034229466,0.278007411,25200,307348.6750268538
New Mexico,2015,0.027058770428272393,0.033143237500617664,-0.006084467072345272,0.304231098,37,0.503268654,0.202639766,0.158752852,0.17976758,0.032684622,0.329873402,18000,171846.00386105574
New York,2015,0.013163451663248114,0.022890517128173485,-0.00972706546492537,0.425637652,38,0.514176978,0.216468642,0.149830184,0.257991813,0.033566378,0.298282347,23300,280729.1570842823
